"ï..Record.ID","Survey.Identifier","Survey.Timestamp","Participant.classification","Please.enter.your.classification","College","Main.department","Main.department.1","Please.write.down.your.main.department","Gender","Race.Ethnicity","Please.enter.your.ethnicity","What.type.of.computer.user.are.you.","My.primary.computer.is.a","What.year.was.your.computer.purchased.","What.is.the.size.of.your.computer.screen.","The.screen.size.of.your.computer","Do.you.have.a.warranty.on.your.computer.","Warranty.on.your.computer","Do.you.have.a.webcam.","How.would.you.rate.your.computer.","What.model.is.your.computer.","Computer.model","Computer.ownership","Computer.ownership.1","What.is.the.operating.system.that.you.use.","Operating.system","Operating.system.version","Operating.system.version.1","Computer.processor","Please.write.your.computer.processor","Computer.memory.size..RAM.","Computer.hard.disk","Current.size.of.your.data.in.the.computer.s.hard.disk","Do.you.backup.the.data.from.your.computer.","What.backup.method.do.you.use.","Brand.of.external.back.up.disk","Please.write.down.the.brand.of.external.back.up.disk","Brand.of.cloud","Please.write.down.the.brand.of.your.cloud.back.up","Backup.frequency","Have.you.set.up.automatic.backups.","Have.you.experienced.a.catastrophic.loss.of.data.in.the.last.three.years.","Are.you.familiar.with.the.UH.Microsoft.365.OneDrive.for.automated..incremental.backups.","Do.you.have.a.secondary.computer.device.","Is.it.synced.with.your.primary.computer.device.","Do.you.have.a.smartphone.","Smartphone.brand","Please.write.down.the.name.of.your.smartphone","Smartphone.model","Please.write.down.the.model.of.your.smartphone","Do.you.have.a.smartwatch.","Smartwatch.brand","Please.write.down.the.name.of.your.smartwatch","Smartwatch.model","Please.write.down.the.model.of.your.smartwatch","What.is.your.preferred.course.delivery.format.for.courses.in.the.Fall.2020.semester.","How.confident.do.you.feel.installing.and.configuring.software..docker.containers..VPN..backup.software..and.others..by.yourself.on.your.computer.","Speed.of.your.home.Internet","Given.your.online.course.experience.from.Spring.2020..how.reliable.has.your.Internet.connectivity.been.overall.","If.you.were.provided.adequate.IT.support.to.setup.your.primary.computers.with.needed.coursework.software..how.likely.would.you.use.the.on.campus.Computer.Labs.in.a.future.semester.","Would.it.be.beneficial.for.IT.personnel.to.have.office.hours..like.a.help.desk..to.assist.you.with.with.course.related.software.issues..general.computer.systems.issues..and.other.related.challenges.","Complete."
1098,NA,"2020-07-27 20:58:38","Freshman","","College of Natural Sciences and Mathematics","Biology and Biochemistry","","","Female","White","","Standard User","Laptop",2013,"13''","","No","","Built-in","Average","Apple Macbook Air","","Own","","Mac OS","","Catalina","","Intel Core i5","","4 GB","128 GB","100 GB - 500 GB","No","","","","","","","","No","No","No","","Yes","iPhone","","iPhone X Series","","No","","","","","Face-to-Face","Not confident","< 100 Mbps","Fair","Neither likely nor unlikely","Yes","Complete"
1132,NA,"2020-07-27 22:32:53","Junior","","College of Natural Sciences and Mathematics","Computer Science","","","Male","White","","Standard User","Desktop",2017,"17''","","No","","External","Excellent","Apple Macbook Pro","","Own","","Windows OS","","Windows 10 Home","","Intel Core i7","","32 GB","1 TB","> 1 TB","Yes","External backup disk","WD","","","","Weekly","Yes","No","Yes","Yes","Yes","Yes","iPhone","","iPhone 11","","Yes","Apple Watch","","Apple Watch 3","","Fully Online","Very confident","> 500 Mbps","Excellent","Very likely","Yes","Complete"
1347,NA,"2020-07-30 16:15:21","P-B non-degree","","College of Natural Sciences and Mathematics","Biology and Biochemistry","","","Female","White","","Standard User","Laptop",2016,"13''","","No","","Built-in","Excellent","Apple Macbook Pro","","Own","","Mac OS","","High Sierra","","Intel Core i5","","8 GB","512 GB","100 GB - 500 GB","Yes","External backup disk","","","","","Other","No","No","No","No","","Yes","iPhone","","iPhone 8","","Yes","Apple Watch","","Apple Watch 3","","Fully Online","Moderately confident","< 100 Mbps","Good","Very unlikely","Maybe","Complete"
1357,NA,"2020-07-31 00:30:22","Sophomore","","College of Natural Sciences and Mathematics","Computer Science","","","Male","White","","Power User","Desktop",2020,"Other","28""","No","","No","Excellent","Other","Built myself","Own","","Windows OS","","Windows 10 Home","","AMD Ryzen","","16 GB","> 1 TB","> 1 TB","Yes","External backup disk","WD","","","","Other","No","No","No","Yes","No","Yes","Samsung","","Samsung Galaxy","","Yes","Samsung","","Samsung Galaxy Watch","","Fully Online","Very confident","100 - 300 Mbps","Excellent","Somewhat unlikely","Maybe","Complete"
1382,NA,"2020-08-02 00:46:14","Freshman","","College of Natural Sciences and Mathematics","Other","","Kinesiology ","Female","Asian American","","Standard User","Laptop",2019,"13''","","No","","Built-in","Excellent","Apple Macbook Pro","","Own","","Mac OS","","Mojave","","Intel Core i5","","8 GB","128 GB","< 100 GB","No","","","","","","","","No","No","Yes","No","Yes","iPhone","","iPhone X Series","","Yes","Apple Watch","","Apple Watch 4","","Fully Online","Neutral","> 500 Mbps","Excellent","Neither likely nor unlikely","Yes","Complete"
1415,NA,"2020-08-05 09:29:03","Staff","","College of Natural Sciences and Mathematics","Chemistry","","","Male","Hispanic","","Power User","Laptop",2015,"13''","","No","","Built-in","Excellent","Apple Macbook Pro","","Own","","Mac OS","","Catalina","","Intel Core i5","","8 GB","128 GB","< 100 GB","No","","","","","","","","No","Yes","No","","Yes","iPhone","","iPhone 11","","Yes","Apple Watch","","Apple Watch 5","","Fully Online","Very confident","100 - 300 Mbps","Excellent","","","Complete"
1417,NA,"2020-08-05 09:30:43","Staff","","College of Natural Sciences and Mathematics","Chemistry","","","Male","Asian American","","Standard User","Desktop",2013,"15''","","No","","External","Average","Dell Inspiron 5000","","University property","","Windows OS","","Windows 10 Enterprise","","Intel Core i7","","> 32 GB","256 GB","100 GB - 500 GB","No","","","","","","","","No","Yes","Yes","No","Yes","iPhone","","Other","iphone 7","No","","","","","Fully Online","Moderately confident","< 100 Mbps","Fair","","","Complete"
1418,NA,"2020-08-05 09:32:12","Assistant Professor","","College of Natural Sciences and Mathematics","Biology and Biochemistry","","","Female","White","","Standard User","Laptop",2016,"13''","","No","","Built-in","Average","Apple Macbook Air","","Own","","Mac OS","","Catalina","","Intel Core i5","","8 GB","128 GB","< 100 GB","Yes","Cloud","","","Google Drive","","Weekly","No","Yes","Yes","No","","Yes","iPhone","","iPhone 8","","No","","","","","Fully Online","Neutral","300 - 500 Mbps","Good","","","Complete"
1419,NA,"2020-08-05 09:33:09","Associate Professor","","College of Natural Sciences and Mathematics","Biology and Biochemistry","","","Female","White","","Standard User","Laptop",2017,"13''","","No","","Built-in","Good","Apple Macbook Pro","","University property","","Mac OS","","Catalina","","Intel Core i5","","8 GB","512 GB","100 GB - 500 GB","Yes","External backup disk","WD","","","","Weekly","Yes","No","No","No","","Yes","iPhone","","Other","iPhone 7","No","","","","","Fully Online","Moderately confident","< 100 Mbps","Fair","","","Complete"
1420,NA,"2020-08-05 09:32:41","Associate Professor","","College of Natural Sciences and Mathematics","Biology and Biochemistry","","","Male","White","","Standard User","Laptop",2018,"15''","","1 year","","Built-in","Good","Apple Macbook Pro","","University property","","Mac OS","","Mojave","","Intel Core i7","","16 GB","512 GB","100 GB - 500 GB","Yes","External backup disk","Seagate","","","","Weekly","No","No","No","No","","Yes","Samsung","","Samsung Galaxy","","No","","","","","Fully Online","Neutral","< 100 Mbps","Fair","","","Complete"
1421,NA,"2020-08-05 09:32:03","Staff","","College of Natural Sciences and Mathematics","Earth and Atmospheric Sciences","","","Male","White","","Power User","Desktop",2013,"Other","27","No","","No","Excellent","Other","Custom","Own","","Windows OS","","Windows 10 Pro","","Other","i7-5930K","> 32 GB","> 1 TB","> 1 TB","Yes","Both","Other","Drobo","Other","BackBlaze","Daily","Yes","No","Yes","Yes","No","Yes","iPhone","","Other","iPhone 7 Plus","Yes","Apple Watch","","Apple Watch 5","","Fully Online","Moderately confident","> 500 Mbps","Excellent","","","Complete"
1423,NA,"2020-08-05 09:33:39","Postdoctoral","","College of Natural Sciences and Mathematics","Biology and Biochemistry","","","Male","Hispanic","","Power User","Laptop",2019,"13''","","No","","Built-in","Good","Other","Dell XPS 13","Own","","Windows OS","","Windows 10 Home","","Intel Core i5","","4 GB","128 GB","< 100 GB","Yes","External backup disk","Seagate","","","","Other","No","No","No","No","","Yes","Other","Motorola z3","Other","Motorola z3","No","","","","","Fully Online","Very confident","100 - 300 Mbps","Average","","","Complete"
1424,NA,"2020-08-05 09:36:27","Staff","","College of Natural Sciences and Mathematics","Other","","Office of the Dean, UH STEM Center","Male","Asian American","","Standard User","Laptop",2017,"15''","","1 year","","Built-in","Average","Other","Dell Inspiron 15 5567","University property","","Windows OS","","Windows 10 Pro","","Intel Core i7","","16 GB","512 GB","500 GB - 1 TB","No","","","","","","","","No","No","Yes","No","Yes","iPhone","","iPhone 8","","No","","","","","Face-to-Face","Not confident","100 - 300 Mbps","Good","","","Complete"
1425,NA,"2020-08-05 09:33:15","Assistant Professor","","College of Natural Sciences and Mathematics","Biology and Biochemistry","","","Female","Asian American","","Standard User","Desktop",2018,"17''","","1 year","","External","Good","Dell Inspiron 7000","","University property","","Windows OS","","Windows 10 Pro","","Intel Core i7","","16 GB","512 GB","100 GB - 500 GB","Yes","Both","WD","","Other","Server","Monthly","No","No","Yes","Yes","No","Yes","iPhone","","iPhone X Series","","Yes","Apple Watch","","Apple Watch 3","","Fully Online","Moderately confident","< 100 Mbps","Good","","","Complete"
1427,NA,"2020-08-05 09:34:31","Research Faculty","","College of Natural Sciences and Mathematics","Biology and Biochemistry","","","Male","White","","Power User","Laptop",2018,"13''","","No","","Built-in","Good","Apple Macbook Pro","","University property","","Mac OS","","Catalina","","Intel Core i7","","16 GB","1 TB","500 GB - 1 TB","Yes","External backup disk","WD","","","","Weekly","No","No","Yes","No","","Yes","Google","","Google Pixel 3a","","No","","","","","Fully Online","Moderately confident","100 - 300 Mbps","Average","","","Complete"
1428,NA,"2020-08-05 10:23:58","Staff","","College of Natural Sciences and Mathematics","Earth and Atmospheric Sciences","","","Female","White","","Standard User","Laptop",2013,"17''","","No","","Built-in","Fair","Other","Acer","Own","","Windows OS","","Other","WINDOWS 7","Other","Intel Core i3","32 GB","128 GB","100 GB - 500 GB","No","","","","","","","","Yes","No","Yes","No","Yes","Samsung","","Samsung Galaxy","","Yes","Samsung","","Samsung Galaxy Watch","","Fully Online","Very confident","300 - 500 Mbps","Good","","","Complete"
1429,NA,"2020-08-05 09:38:36","Staff","","College of Natural Sciences and Mathematics","Other","","Dean's Office","Female","White","","Standard User","Laptop",2014,"15''","","Other","I'm not sure. The laptop was purchased for my predecessor","Built-in","Average","Apple Macbook Pro","","University property","","Mac OS","","High Sierra","","Intel Core i7","","16 GB","512 GB","100 GB - 500 GB","Yes","Cloud","","","Apple iCloud","","Weekly","Yes","No","No","Yes","No","Yes","iPhone","","iPhone X Series","","No","","","","","Fully Online","Very confident","300 - 500 Mbps","Average","","","Complete"
1431,NA,"2020-08-05 09:35:47","Professor","","College of Natural Sciences and Mathematics","Earth and Atmospheric Sciences","","","Male","Prefer Not to Say","","Power User","Laptop",2018,"15''","","No","","Built-in","Good","Apple Macbook Pro","","Own","","Mac OS","","Catalina","","Intel Core i7","","16 GB","512 GB","100 GB - 500 GB","Yes","External backup disk","Seagate","","","","Daily","Yes","No","No","No","","Yes","iPhone","","iPhone 8","","No","","","","","Face-to-Face","Moderately confident","< 100 Mbps","Average","","","Complete"
1432,NA,"2020-08-05 09:53:43","Associate Professor","","College of Natural Sciences and Mathematics","Mathematics","","","Female","White","","Standard User","Laptop",2019,"17''","","1 year","","Built-in","Good","Other","Dell Latitude 7390 2-in-1","University property","","Windows OS","","Windows 10 Enterprise","","Intel Core i7","","16 GB","512 GB","100 GB - 500 GB","Yes","Cloud","","","Microsoft OneDrive","","Other","Yes","No","Yes","No","","Yes","Samsung","","Samsung Galaxy","","No","","","","","Fully Online","Moderately confident","300 - 500 Mbps","Good","","","Complete"
1435,NA,"2020-08-05 09:37:12","Postdoctoral","","College of Natural Sciences and Mathematics","Chemistry","","","Male","Asian American","","Power User","Laptop",2015,"15''","","1 year","","Built-in","Excellent","Other","Asus","Own","","Other","Pop!_OS (Linux) ","Other","20","Intel Core i7","","8 GB","512 GB","100 GB - 500 GB","Yes","Both","Samsung","","Dropbox","","Daily","Yes","Yes","No","Yes","Yes","Yes","Other","Sony  ","Other","Xperia XZ Premium","No","","","","","Hybrid/Blended","Very confident","> 500 Mbps","Poor","","","Complete"
1436,NA,"2020-08-05 09:35:48","Staff","","College of Natural Sciences and Mathematics","Chemistry","","","Male","Asian American","","Power User","Laptop",2015,"13''","","No","","Built-in","Fair","Microsoft Surface","","University property","","Windows OS","","Windows 10 Enterprise","","Intel Core i5","","8 GB","256 GB","100 GB - 500 GB","Yes","Cloud","","","Microsoft OneDrive","","Daily","Yes","No","Yes","Yes","Yes","Yes","iPhone","","iPhone 11","","Yes","Other","Garmin","Other","Forerunner 935","Fully Online","Very confident","100 - 300 Mbps","Good","","","Complete"
1437,NA,"2020-08-05 09:46:32","Assistant Professor","","College of Natural Sciences and Mathematics","Mathematics","","","Female","White","","Standard User","Laptop",2017,"Other","12""","3 year","","Built-in","Good","Other","Apple Macbook","University property","","Mac OS","","Catalina","","Other","Dual-Core Intel Core m3","16 GB","256 GB","< 100 GB","No","","","","","","","","Yes","No","Yes","Yes","Yes","iPhone","","iPhone 11","","No","","","","","Fully Online","Not confident","< 100 Mbps","Good","","","Complete"
1438,NA,"2020-08-05 09:38:30","Instructional Faculty","","College of Natural Sciences and Mathematics","Earth and Atmospheric Sciences","","","Male","White","","Standard User","Desktop",2020,"Other","27","3 year","","External","Good","Other","imac","University property","","Mac OS","","Catalina","","Intel Core i5","","16 GB","1 TB","100 GB - 500 GB","Yes","External backup disk","WD","","","","Daily","Yes","No","No","Yes","Yes","Yes","iPhone","","iPhone X Series","","Yes","Apple Watch","","Apple Watch 4","","Fully Online","Moderately confident","< 100 Mbps","Average","","","Complete"
1440,NA,"2020-08-05 09:41:18","Professor","","College of Natural Sciences and Mathematics","Physics","","","Male","White","","Power User","Laptop",2019,"Other","16''","3 year","","Built-in","Good","Apple Macbook Pro","","University property","","Mac OS","","Catalina","","Intel Core i9","","> 32 GB","> 1 TB","500 GB - 1 TB","Yes","External backup disk","Other","G","","","Other","Yes","No","No","Yes","Yes","Yes","iPhone","","iPhone 11","","No","","","","","Fully Online","Somewhat confident","100 - 300 Mbps","Good","","","Complete"
1441,NA,"2020-08-05 09:38:53","Associate Professor","","College of Natural Sciences and Mathematics","Chemistry","","","Male","White","","Power User","Laptop",2019,"Other","11..5","3 year","","Built-in","Good","Microsoft Surface","","University property","","Windows OS","","Windows 10 Pro","","Intel Core i5","","8 GB","256 GB","< 100 GB","Yes","Cloud","","","Dropbox","","Daily","No","No","No","No","","Yes","iPhone","","Other","Iphone 6s","No","","","","","Face-to-Face","Moderately confident","< 100 Mbps","Average","","","Complete"
1442,NA,"2020-08-05 09:43:12","Assistant Professor","","College of Natural Sciences and Mathematics","Biology and Biochemistry","","","Female","White","","Power User","Laptop",2015,"13''","","No","","Built-in","Good","Apple Macbook Pro","","Own","","Mac OS","","Other","Yosemite","Intel Core i7","","16 GB","1 TB","100 GB - 500 GB","Yes","Both","Seagate","","Dropbox","","Other","No","No","No","Yes","No","Yes","iPhone","","iPhone 8","","Yes","Other","Garmin","Other","I forget","Fully Online","Moderately confident","< 100 Mbps","Average","","","Complete"
1443,NA,"2020-08-05 09:46:28","Staff","","College of Natural Sciences and Mathematics","Other","","CNRCS","Female","White","","Standard User","Desktop",2019,"Other","23""","No","","No","Average","Dell Inspiron 3000","","University property","","Windows OS","","Windows 10 Pro","","Intel Core i5","","8 GB","1 TB","100 GB - 500 GB","No","","","","","","","","No","Yes","No","","Yes","Samsung","","Samsung Galaxy","","No","","","","","Fully Online","Neutral","< 100 Mbps","Good","","","Complete"
1444,NA,"2020-08-05 09:45:26","Professor","","College of Natural Sciences and Mathematics","Computer Science","","","Male","Asian American","","Power User","Desktop",2017,"17''","","No","","No","Average","Other","Dell (don't remember the model number)","University property","","Windows OS","","Windows 10 Pro","","Intel Core i7","","16 GB","1 TB","500 GB - 1 TB","Yes","External backup disk","Seagate","","","","Other","No","No","No","Yes","No","Yes","iPhone","","iPhone X Series","","Yes","Fitbit","","Other","Fitbit 2","Fully Online","Neutral","< 100 Mbps","Poor","","","Complete"
1448,NA,"2020-08-05 09:47:10","Associate Professor","","College of Natural Sciences and Mathematics","Biology and Biochemistry","","","Male","Asian American","","Standard User","Laptop",2017,"13''","","No","","Built-in","Good","Dell Latitude 5000","","University property","","Windows OS","","Windows 10 Enterprise","","Intel Core i7","","32 GB","256 GB","100 GB - 500 GB","Yes","External backup disk","Seagate","","","","Other","No","No","No","No","","Yes","iPhone","","Other","iPhone 6 Plus","No","","","","","Hybrid/Blended","Moderately confident","300 - 500 Mbps","Good","","","Complete"
1450,NA,"2020-08-05 09:44:11","Professor","","College of Natural Sciences and Mathematics","Physics","","","Female","Asian American","","Power User","Laptop",2019,"15''","","1 year","","Built-in","Good","Apple Macbook Pro","","University property","","Mac OS","","Catalina","","Intel Core i9","","8 GB","1 TB","100 GB - 500 GB","Yes","External backup disk","WD","","","","Monthly","No","No","No","Yes","No","Yes","iPhone","","iPhone 11","","No","","","","","Fully Online","Very confident","> 500 Mbps","Average","","","Complete"
1451,NA,"2020-08-05 09:44:40","Professor","","College of Natural Sciences and Mathematics","Chemistry","","","Male","White","","Power User","Laptop",2016,"13''","","No","","No","Average","Other","toshiba","Own","","Windows OS","","Windows 10 Pro","","Intel Core i5","","8 GB","512 GB","< 100 GB","No","","","","","","","","Yes","No","No","","Yes","Samsung","","Other","dontknow","No","","","","","Face-to-Face","Somewhat confident","< 100 Mbps","Average","","","Complete"
1453,NA,"2020-08-05 09:47:17","Assistant Professor","","College of Natural Sciences and Mathematics","Physics","","","Male","White","","Power User","Laptop",2018,"14''","","No","","Built-in","Good","Other","Asus  Zenbook","University property","","Other","Ubuntu Linux (GNU)","Other","18.04","Intel Core i7","","16 GB","512 GB","100 GB - 500 GB","Yes","Cloud","","","Dropbox","","Other","Yes","No","No","Yes","Yes","Yes","Samsung","","Samsung Galaxy","","No","","","","","Face-to-Face","Moderately confident","100 - 300 Mbps","Good","","","Complete"
1454,NA,"2020-08-05 09:59:07","Staff","","College of Natural Sciences and Mathematics","Biology and Biochemistry","","","Female","White","","Standard User","Laptop",2015,"15''","","No","","Built-in","Average","Dell Inspiron 3000","","Own","","Windows OS","","Windows 10 Pro","","AMD Ryzen","","8 GB","256 GB","< 100 GB","No","","","","","","","","No","No","No","","Yes","Samsung","","Samsung Galaxy","","No","","","","","Hybrid/Blended","Neutral","< 100 Mbps","Average","","","Complete"
1455,NA,"2020-08-05 09:51:21","Associate Professor","","College of Natural Sciences and Mathematics","Earth and Atmospheric Sciences","","","Male","White","","Standard User","Laptop",2019,"14''","","No","","Built-in","Average","Lenovo ThinkPad","","Own","","Windows OS","","Windows 10 Pro","","Intel Core i5","","8 GB","256 GB","100 GB - 500 GB","Yes","Cloud","","","Dropbox","","Daily","Yes","No","No","Yes","Yes","Yes","iPhone","","Other","6","No","","","","","Fully Online","Very confident","> 500 Mbps","Excellent","","","Complete"
1456,NA,"2020-08-05 09:47:54","MS","","College of Natural Sciences and Mathematics","Earth and Atmospheric Sciences","","","Male","White","","Power User","Desktop",2016,"Other","24","No","","External","Good","Other","custom","Own","","Windows OS","","Windows 10 Home","","AMD Ryzen","","32 GB","> 1 TB","500 GB - 1 TB","No","","","","","","","","No","No","No","","Yes","Samsung","","Other","IPhone 7s","No","","","","","Fully Online","Moderately confident","100 - 300 Mbps","Excellent","Very unlikely","Yes","Complete"
1457,NA,"2020-08-05 09:51:25","Professor","","College of Natural Sciences and Mathematics","Chemistry","","","Prefer Not to Say","Prefer Not to Say","","Standard User","Desktop",2010,"Other","20","No","","Built-in","Average","Other","Mac Pro","University property","","Mac OS","","High Sierra","","Other","intel xeon","> 32 GB","> 1 TB","500 GB - 1 TB","Yes","Both","Seagate","","Dropbox","","Daily","Yes","No","No","Yes","Yes","Yes","iPhone","","Other","iphone 8","No","","","","","Face-to-Face","Moderately confident","300 - 500 Mbps","Fair","","","Complete"
1460,NA,"2020-08-05 09:50:40","Professor","","College of Natural Sciences and Mathematics","Computer Science","","","Male","Prefer Not to Say","","Power User","Laptop",2019,"15''","","No","","Built-in","Excellent","Apple Macbook Pro","","University property","","Mac OS","","Catalina","","Intel Core i9","","> 32 GB","> 1 TB","500 GB - 1 TB","Yes","Both","WD","","Microsoft OneDrive","","Weekly","Yes","No","Yes","Yes","Yes","Yes","iPhone","","iPhone 11","","Yes","Apple Watch","","Apple Watch 3","","Fully Online","Very confident","300 - 500 Mbps","Good","","","Complete"
