"Record ID","Survey Identifier","Survey Timestamp","Participant classification","Please enter your classification",College,"Main department","Main department","Please write down your main department",Gender,Race/Ethnicity,"Please enter your ethnicity","What type of computer user are you?","My primary computer is a","What year was your computer purchased?","What is the size of your computer screen?","The screen size of your computer","Do you have a warranty on your computer?","Warranty on your computer","Do you have a webcam?","How would you rate your computer?","What model is your computer?","Computer model","Computer ownership","Computer ownership","What is the operating system that you use?","Operating system","Operating system version","Operating system version","Computer processor","Please write your computer processor","Computer memory size (RAM)","Computer hard disk","Current size of your data in the computer's hard disk","Do you backup the data from your computer?","What backup method do you use?","Brand of external back-up disk","Please write down the brand of external back-up disk","Brand of cloud","Please write down the brand of your cloud back-up","Backup frequency","Have you set up automatic backups?","Have you experienced a catastrophic loss of data in the last three years?","Are you familiar with the UH Microsoft 365 OneDrive for automated, incremental backups?","Do you have a secondary computer device?","Is it synced with your primary computer device?","Do you have a smartphone?","Smartphone brand","Please write down the name of your smartphone","Smartphone model","Please write down the model of your smartphone","Do you have a smartwatch?","Smartwatch brand","Please write down the name of your smartwatch","Smartwatch model","Please write down the model of your smartwatch","What is your preferred course delivery format for courses in the Fall 2020 semester?","How confident do you feel installing and configuring software (docker containers, VPN, backup software, and others) by yourself on your computer?","Speed of your home Internet","Given your online course experience from Spring 2020, how reliable has your Internet connectivity been overall?","If you were provided adequate IT support to setup your primary computers with needed coursework software, how likely would you use the on campus Computer Labs in a future semester?","Would it be beneficial for IT personnel to have office hours (like a help desk) to assist you with with course-related software issues, general computer systems issues, and other related challenges?",Complete?
11,,"[not completed]","Instructional Faculty",,,Chemistry,,,Male,"International (visa holders)",,,Laptop,2019,14'',,"1 year",,"Built-in to my computer",Good,"Apple Macbook Air",,Own,,"Windows OS",,"Windows 10 Home",,"Intel Core i9",,"16 GB","512 GB","100 GB - 500 GB",No,,,,,,,,No,No,No,,No,,,,,No,,,,,,,,,,,Incomplete
12,,"[not completed]",Senior,,,"Computer Science",,,Male,White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Incomplete
13,,"2020-06-16 21:57:45","Masters Student (MS)",,,"Computer Science",,,Male,"International (visa holders)",,,Laptop,2019,15'',,No,,"Built-in to my computer",Good,"Dell Inspiron 3000",,Own,,"Windows OS",,"Windows 10 Home",,"Intel Core i7",,"16 GB","512 GB","100 GB - 500 GB",Yes,Both,WD,,"Google Drive",,Daily,Yes,No,Yes,Yes,No,Yes,iPhone,,"iPhone 8",,Yes,"Apple Watch",,"Apple Watch 4",,"Fully Online",Neutral,"< 100 Mbps",Good,"Somewhat likely",Maybe,Complete
14,,"[not completed]",Sophomore,,,Chemistry,,,Male,"International (visa holders)",,,Laptop,2020,15'',,"1 year",,External,Average,"Dell Latitude 5000",,Own,,"Mac OS",,Catalina,,"Intel Core i9",,"16 GB","512 GB","100 GB - 500 GB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Incomplete
15,,"2020-06-18 10:26:51","Instructional Faculty",,,"Earth and Atmospheric Sciences",,,"Prefer Not to Say","Prefer Not to Say",,"Standard User [document writing/email/web]",Desktop,2015,14'',,No,,"Built-in to my computer",Average,"Apple Macbook Pro",,Own,,"Mac OS",,"High Sierra",,"Intel Core i5",,"4 GB","256 GB","100 GB - 500 GB",No,,,,,,,,No,Yes,No,,Yes,iPhone,,"iPhone 8",,No,,,,,Hybrid/Blended,Neutral,"100 - 300 Mbps",Average,,,Complete
16,,"2020-06-19 14:42:05",Senior,,,"Computer Science",,,Male,"International (visa holders)",,"Power User [... plus programming/analytics]",Laptop,2019,15'',,No,,"Built-in to my computer",Average,"Dell Inspiron 5000",,Own,,"Windows OS",,"Windows 10 Home",,"Intel Core i7",,"16 GB","512 GB","100 GB - 500 GB",Yes,Both,WD,,"Google Drive",,Weekly,Yes,No,Yes,Yes,No,Yes,iPhone,,"iPhone X Series",,Yes,"Apple Watch",,"Apple Watch 4",,"Fully Online",Neutral,"< 100 Mbps",Good,"Neither likely nor unlikely",Maybe,Complete
17,,"2020-06-22 12:09:58",Senior,,,"Computer Science",,,Female,"International (visa holders)",,"Power User [... plus programming/analytics]",Laptop,2019,15'',,"3 year",,"Built-in to my computer",Excellent,Other,HP,Own,,"Windows OS",,"Windows 10 Home",,"Intel Core i5",,"8 GB","256 GB","100 GB - 500 GB",Yes,Cloud,,,"Microsoft OneDrive",,Other,Yes,Yes,Yes,Yes,Yes,Yes,iPhone,,"iPhone X Series",,No,,,,,Hybrid/Blended,"Moderately confident","300 - 500 Mbps",Excellent,"Somewhat unlikely",Yes,Complete
18,,"2020-06-22 12:09:49","Masters Student (MS)",,,"Computer Science",,,Male,"International (visa holders)",,"Power User [... plus programming/analytics]",Laptop,2017,15'',,No,,"Built-in to my computer",Good,Other,"ASUS ROG553VE",Own,,Other,Ubuntu,Other,18.04,"Intel Core i7",,"8 GB","> 1 TB","500 GB - 1 TB",No,,,,,,,,No,Yes,No,,Yes,Google,,"Google Pixel 3a",,No,,,,,Hybrid/Blended,"Very confident","300 - 500 Mbps",Excellent,"Neither likely nor unlikely",Maybe,Complete
19,,"2020-06-22 12:08:31",Senior,,,"Biology and Biochemistry",,,Female,"Asian American",,"Standard User [document writing/email/web]",Laptop,2018,13'',,No,,"Built-in to my computer",Good,"Apple Macbook Air",,Own,,"Mac OS",,Catalina,,"Intel Core i5",,"8 GB","128 GB","500 GB - 1 TB",No,,,,,,,,No,No,No,,Yes,iPhone,,"iPhone X Series",,Yes,"Apple Watch",,"Apple Watch 4",,Hybrid/Blended,"Somewhat confident","100 - 300 Mbps",Average,"Neither likely nor unlikely",Yes,Complete
20,,"[not completed]",Freshman,,,"Computer Science",,,Male,"Asian American",,"Power User [... plus programming/analytics]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Incomplete
21,,"2020-06-22 12:09:33",Senior,,,"Biology and Biochemistry",,,Male,"Asian American",,"Standard User [document writing/email/web]",Laptop,2017,13'',,No,,"Built-in to my computer",Average,Other,"HP Spectre",Own,,"Windows OS",,"Windows 10 Home",,"Intel Core i7",,"8 GB","512 GB","100 GB - 500 GB",No,,,,,,,,No,No,No,,Yes,iPhone,,"iPhone X Series",,No,,,,,Hybrid/Blended,"Somewhat confident","< 100 Mbps",Fair,"Somewhat unlikely",Maybe,Complete
22,,"2020-06-22 12:12:01","Doctoral Student (PhD)",,,"Earth and Atmospheric Sciences",,,Female,White,,"Power User [... plus programming/analytics]",Laptop,2019,14'',,"1 year",,"Built-in to my computer",Excellent,Other,"Asus zenbook",Own,,"Windows OS",,"Windows 10 Home",,"Intel Core i7",,"16 GB","512 GB","100 GB - 500 GB",Yes,Cloud,,,"Google Drive",,Monthly,No,No,No,No,,Yes,Samsung,,"Samsung Galaxy",,No,,,,,Hybrid/Blended,"Moderately confident","300 - 500 Mbps",Excellent,"Very unlikely",Maybe,Complete
23,,"[not completed]",Sophomore,,,"Biology and Biochemistry",,,Male,"Asian American",,"Standard User [document writing/email/web]",Laptop,2016,14'',,No,,No,Average,Other,HP,Own,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Incomplete
24,,"2020-06-22 12:10:59",Sophomore,,,"Computer Science",,,Male,"Asian American",,"Power User [... plus programming/analytics]",Desktop,2013,17'',,No,,No,Fair,Other,"Hp 110-a0",Own,,Other,Linux,Other,"Ubuntu ",Other,"i3 intel","8 GB","1 TB","100 GB - 500 GB",Yes,"External backup disk",WD,,,,Monthly,Yes,No,Yes,Yes,Yes,Yes,iPhone,,"iPhone 11",,No,,,,,Hybrid/Blended,"Very confident","100 - 300 Mbps",Good,"Somewhat likely",Yes,Complete
25,,"[not completed]",Freshman,,,"Biology and Biochemistry",,,Female,"Asian American",,"Standard User [document writing/email/web]",Laptop,2016,14'',,"1 year",,"Built-in to my computer",Good,Other,"HP Chromebook",Own,,"Chrome OS",,"Windows 10 Home",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Incomplete
26,,"[not completed]",Senior,,,"Biology and Biochemistry",,,Female,White,,"Standard User [document writing/email/web]",Laptop,2016,15'',,No,,"Built-in to my computer",Average,"Lenovo Yoga",,Own,,"Windows OS",,"Windows 10 Home",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Incomplete
27,,"2020-06-22 12:10:39","Doctoral Student (PhD)",,,"Biology and Biochemistry",,,Male,"Asian American",,"Power User [... plus programming/analytics]",Laptop,2014,17'',,No,,"Built-in to my computer",Excellent,Other,"Clevo P170SM",Own,,"Windows OS",,Other,"Windows 7","Intel Core i7",,"> 32 GB","> 1 TB","500 GB - 1 TB",Yes,Both,WD,,"Google Drive",,Daily,Yes,No,No,No,,Yes,iPhone,,"iPhone 8",,No,,,,,"Fully Online","Very confident","> 500 Mbps",Excellent,"Very unlikely",Maybe,Complete
28,,"2020-06-22 12:09:33","Doctoral Student (PhD)",,,Chemistry,,,Female,White,,"Power User [... plus programming/analytics]",Laptop,2018,13'',,"3 year",,"Built-in to my computer",Excellent,"Apple Macbook Pro",,Own,,"Mac OS",,Catalina,,"Intel Core i7",,"16 GB","256 GB","100 GB - 500 GB",Yes,Both,Seagate,,"Apple iCloud",,Monthly,Yes,Yes,No,No,,Yes,iPhone,,"iPhone X Series",,Yes,"Apple Watch",,"Apple Watch 5",,Hybrid/Blended,"Very confident","> 500 Mbps",Average,"Very unlikely",Maybe,Complete
29,,"2020-06-22 12:11:08",Senior,,,"Biology and Biochemistry",,,Female,"African American",,"Standard User [document writing/email/web]",Laptop,2018,13'',,No,,"Built-in to my computer",Excellent,"Apple Macbook Pro",,Own,,"Mac OS",,Catalina,,"Intel Core i5",,"8 GB","128 GB","< 100 GB",Yes,Cloud,,,"Apple iCloud",,Daily,Yes,No,No,Yes,Yes,Yes,iPhone,,"iPhone 11",,Yes,"Apple Watch",,"Apple Watch 5",,Face-to-Face,"Somewhat confident","100 - 300 Mbps",Good,"Somewhat unlikely",Yes,Complete
30,,"2020-06-22 12:10:41",Senior,,,"Biology and Biochemistry",,,Female,Hispanic,,"Standard User [document writing/email/web]",Laptop,2019,13'',,"3 year",,"Built-in to my computer",Excellent,Other,"HP Spectre x360",Own,,"Windows OS",,"Windows 10 Home",,"Intel Core i7",,"16 GB","256 GB","100 GB - 500 GB",No,,,,,,,,No,No,No,,Yes,iPhone,,"iPhone 8",,No,,,,,Hybrid/Blended,"Moderately confident","100 - 300 Mbps",Good,"Neither likely nor unlikely",Yes,Complete
31,,"[not completed]","Doctoral Student (PhD)",,,Chemistry,,,Female,White,,"Standard User [document writing/email/web]",Laptop,2017,13'',,No,,"Built-in to my computer",Fair,"Dell Latitude 5000",,"University property",,"Windows OS",,"Windows 10 Home",,"Intel Core i5",,"16 GB","128 GB","100 GB - 500 GB",No,,,,,,,,No,No,Yes,No,Yes,iPhone,,"iPhone 11",,No,,,,,Hybrid/Blended,"Not confident",,Average,"Somewhat likely",Yes,Incomplete
32,,"2020-06-22 12:10:45",Sophomore,,,"Biology and Biochemistry",,,Female,Hispanic,,"Standard User [document writing/email/web]",Laptop,2018,13'',,No,,"Built-in to my computer",Average,"Dell Inspiron 7000",,Own,,"Windows OS",,"Windows 10 Home",,"Intel Core i5",,"8 GB","256 GB","100 GB - 500 GB",No,,,,,,,,No,Yes,No,,Yes,Samsung,,"Samsung Galaxy",,No,,,,,Face-to-Face,"Not confident","100 - 300 Mbps",Fair,"Somewhat likely",Maybe,Complete
33,,"[not completed]",Freshman,,,Other,,"Honors Biomedical Sciences",Female,"Asian American",,"Standard User [document writing/email/web]",Laptop,2019,13'',,No,,"Built-in to my computer",Good,"Microsoft Surface",,Own,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Incomplete
34,,"[not completed]",Sophomore,,,"Biology and Biochemistry",,,Female,"Asian American",,"Standard User [document writing/email/web]",Laptop,2018,17'',,No,,"Built-in to my computer",Good,"Dell Inspiron 5000",,Own,,"Windows OS",,"Windows 10 Home",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Incomplete
35,,"[not completed]",Junior,,,"Biology and Biochemistry",,,Female,"African American",,"Standard User [document writing/email/web]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Incomplete
36,,"2020-06-22 12:10:13","Doctoral Student (PhD)",,,Mathematics,,,Male,"International (visa holders)",,"Power User [... plus programming/analytics]",Laptop,2017,15'',,No,,"Built-in to my computer",Good,Other,"Asus Flip ",Own,,"Windows OS",,"Windows 10 Home",,"Intel Core i7",,"8 GB","1 TB","100 GB - 500 GB",No,,,,,,,,No,Yes,No,,Yes,Other,LG,Other,V40,No,,,,,Face-to-Face,"Very confident","100 - 300 Mbps",Good,"Somewhat likely",Yes,Complete
37,,"[not completed]",Senior,,,"Biology and Biochemistry",,,Female,"Asian American",,"Standard User [document writing/email/web]",Laptop,2019,13'',,"1 year",,"Built-in to my computer",Good,"Apple Macbook Pro",,Own,,"Mac OS",,Catalina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Incomplete
38,,"2020-06-22 12:19:32",Senior,,,Chemistry,,,Male,Hispanic,,"Standard User [document writing/email/web]",Laptop,2019,14'',,No,,"Built-in to my computer",Good,Other,"HP Generic Laptop",Own,,"Windows OS",,"Windows 10 Home",,Other,"Intel Core i3","8 GB","128 GB","< 100 GB",No,,,,,,,,No,Yes,No,,Yes,Samsung,,"Samsung Galaxy",,No,,,,,Face-to-Face,Neutral,"< 100 Mbps",Good,"Neither likely nor unlikely",Yes,Complete
39,,"[not completed]",Senior,,,"Biology and Biochemistry",,,Female,White,,"Standard User [document writing/email/web]",Laptop,2018,17'',,No,,"Built-in to my computer",Average,Other,"HP Spectre",Own,,"Windows OS",,"Windows 10 Home",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Incomplete
40,,"2020-06-22 12:10:23",Senior,,,"Biology and Biochemistry",,,Female,White,,"Standard User [document writing/email/web]",Laptop,2015,13'',,No,,"Built-in to my computer",Average,"Apple Macbook Pro",,Own,,"Mac OS",,"High Sierra",,"Intel Core i9",,"4 GB","128 GB","< 100 GB",Yes,Cloud,,,"Apple iCloud",,Weekly,Yes,No,No,Yes,Yes,Yes,iPhone,,"iPhone X Series",,No,,,,,Hybrid/Blended,"Not confident","300 - 500 Mbps",Good,"Somewhat likely",Yes,Complete
41,,"2020-06-22 12:10:29",Senior,,,"Biology and Biochemistry",,,Female,"Asian American",,"Standard User [document writing/email/web]",Laptop,2017,14'',,No,,"Built-in to my computer",Good,Other,"Acer Swift 3",Own,,"Windows OS",,"Windows 10 Pro",,"Intel Core i5",,"8 GB","256 GB","100 GB - 500 GB",No,,,,,,,,No,Yes,No,,Yes,Other,OnePlus,Other,"OnePlus 6T",No,,,,,"Fully Online","Very confident","300 - 500 Mbps",Excellent,"Neither likely nor unlikely",Maybe,Complete
42,,"2020-06-22 12:13:42","Doctoral Student (PhD)",,,"Computer Science",,,Male,White,,"Power User [... plus programming/analytics]",Laptop,2012,15'',,No,,"Built-in to my computer",Average,Other,"hp pavilion g3",Own,,Other,ubuntu,Other,16.04,Other,"intel core i3","8 GB","512 GB","< 100 GB",Yes,Both,Seagate,,"Google Drive",,Monthly,No,No,No,Yes,Yes,Yes,Google,,Other,"lg stylo 2",No,,,,,"Fully Online","Very confident","100 - 300 Mbps",Fair,"Somewhat likely",Yes,Complete
43,,"2020-06-22 12:11:28",Freshman,,,"Biology and Biochemistry",,,Male,White,,"Standard User [document writing/email/web]",Desktop,2018,Other,21.5,No,,"Built-in to my computer",Average,Other,iMac,Own,,"Mac OS",,Catalina,,"Intel Core i5",,"8 GB","1 TB","500 GB - 1 TB",No,,,,,,,,No,No,Yes,Yes,Yes,iPhone,,"iPhone X Series",,No,,,,,"Fully Online","Moderately confident","100 - 300 Mbps",Good,"Neither likely nor unlikely",Yes,Complete
44,,"[not completed]",Sophomore,,,"Biology and Biochemistry",,,Male,White,,"Standard User [document writing/email/web]",Laptop,2018,13'',,No,,"Built-in to my computer",Good,"Dell Inspiron 7000",,Own,,"Windows OS",,"Windows 10 Home",,"Intel Core i5",,"8 GB","256 GB","< 100 GB",Yes,Cloud,,,"Microsoft OneDrive",,Daily,Yes,No,Yes,No,,,,,,,,,,,,,,,,,,Incomplete
45,,"2020-06-22 12:21:08","Doctoral Student (PhD)",,,Chemistry,,,Female,"International (visa holders)",,"Power User [... plus programming/analytics]",Laptop,2019,13'',,No,,"Built-in to my computer",Good,"Microsoft Surface",,Own,,"Windows OS",,"Windows 10 Home",,"Intel Core i7",,"16 GB","512 GB","100 GB - 500 GB",Yes,Cloud,,,"Microsoft OneDrive",,Daily,Yes,No,Yes,Yes,Yes,Yes,iPhone,,"iPhone X Series",,No,,,,,"Fully Online","Very confident","100 - 300 Mbps",Excellent,"Somewhat likely",Maybe,Complete
46,,"[not completed]",Freshman,,,Chemistry,,,Female,"African American",,"Standard User [document writing/email/web]",Laptop,2015,15'',,No,,"Built-in to my computer",Excellent,Other,"I actually don't have a computer yet but the plan is to get me one.",Own,,"Windows OS",,"Windows 10 Pro",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Incomplete
47,,"2020-06-22 12:10:09",Senior,,,"Biology and Biochemistry",,,Female,"Asian American",,"Standard User [document writing/email/web]",Laptop,2016,17'',,No,,"Built-in to my computer",Average,Other,Acer,Own,,"Windows OS",,"Windows 10 Home",,"Intel Core i5",,"8 GB","128 GB","100 GB - 500 GB",No,,,,,,,,No,No,No,,Yes,Other,OnePlus,Other,"OnePlus 7 Pro",No,,,,,Hybrid/Blended,Neutral,"100 - 300 Mbps",Average,"Neither likely nor unlikely",Maybe,Complete
48,,"2020-06-22 12:13:23",Freshman,,,"Biology and Biochemistry",,,Female,"Asian American",,"Standard User [document writing/email/web]",Laptop,2019,15'',,No,,"Built-in to my computer",Good,Other,"HP Pavilion 15t",Own,,"Windows OS",,"Windows 10 Home",,"Intel Core i7",,"16 GB","512 GB","100 GB - 500 GB",No,,,,,,,,No,No,Yes,No,Yes,Other,OnePlus,Other,"OnePlus 8",No,,,,,Face-to-Face,"Somewhat confident","300 - 500 Mbps",Good,"Very unlikely",Yes,Complete
49,,"[not completed]","Doctoral Student (PhD)",,,Mathematics,,,Female,"International (visa holders)",,"Power User [... plus programming/analytics]",Laptop,2017,13'',,"1 year",,"Built-in to my computer",Average,Other,Asus,Own,,"Windows OS",,"Windows 10 Home",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Incomplete
50,,"2020-06-22 12:14:30",Senior,,,Mathematics,,,Male,Hispanic,,"Standard User [document writing/email/web]",Laptop,2012,13'',,No,,"Built-in to my computer",Average,"Apple Macbook Pro",,Own,,"Mac OS",,Catalina,,"Intel Core i5",,"8 GB","128 GB","< 100 GB",No,,,,,,,,No,Yes,Yes,No,Yes,iPhone,,"iPhone X Series",,Yes,"Apple Watch",,Other,"Apple Watch series 1",Hybrid/Blended,"Very confident","100 - 300 Mbps",Excellent,"Somewhat unlikely",Yes,Complete
51,,"2020-06-22 12:11:05","Masters Student (MS)",,,Mathematics,,,Female,White,,"Standard User [document writing/email/web]",Laptop,2018,17'',,"3 year",,"Built-in to my computer",Excellent,"Microsoft Surface",,Own,,"Windows OS",,"Windows 10 Home",,"Intel Core i7",,"16 GB","1 TB","100 GB - 500 GB",Yes,Cloud,,,"Microsoft OneDrive",,Daily,Yes,No,No,No,,Yes,Samsung,,"Samsung Galaxy",,No,,,,,"Fully Online","Very confident","300 - 500 Mbps",Excellent,"Very unlikely",No,Complete
52,,"[not completed]",Junior,,,"Biology and Biochemistry",,,Female,"African American",,"Standard User [document writing/email/web]",Laptop,2018,15'',,No,,"Built-in to my computer",Good,"Microsoft Surface",,Own,,"Windows OS",,"Windows 10 Home",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Incomplete
53,,"2020-06-22 12:14:23",Sophomore,,,Chemistry,,,Female,Multiracial,,"Standard User [document writing/email/web]",Laptop,2019,14'',,"1 year",,"Built-in to my computer",Good,"Lenovo ThinkPad",,Own,,"Windows OS",,"Windows 10 Home",,"Intel Core i7",,"16 GB","512 GB","100 GB - 500 GB",No,,,,,,,,No,Yes,Yes,Yes,Yes,Samsung,,"Samsung Galaxy",,No,,,,,Face-to-Face,"Somewhat confident","< 100 Mbps",Good,"Somewhat likely",Yes,Complete
54,,"[not completed]","Doctoral Student (PhD)",,,"Biology and Biochemistry",,,Male,"Prefer Not to Say",,"Power User [... plus programming/analytics]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Incomplete
55,,"2020-06-22 12:13:27",Freshman,,,"Biology and Biochemistry",,,Male,"Asian American",,"Standard User [document writing/email/web]",Laptop,2019,15'',,No,,"Built-in to my computer",Excellent,"Microsoft Surface",,Own,,"Windows OS",,"Windows 10 Pro",,"Intel Core i7",,"16 GB","512 GB","< 100 GB",Yes,Both,Other,Sandisk,"Google Drive",,Daily,Yes,No,Yes,Yes,No,Yes,Samsung,,"Samsung Galaxy",,Yes,Samsung,,"Samsung Galaxy Watch",,"Fully Online","Moderately confident","< 100 Mbps",Good,"Somewhat unlikely",Yes,Complete
56,,"2020-06-22 12:11:06","Doctoral Student (PhD)",,,"Biology and Biochemistry",,,Male,White,,"Power User [... plus programming/analytics]",Laptop,2017,13'',,No,,"Built-in to my computer",Average,"Apple Macbook Air",,Own,,"Mac OS",,"High Sierra",,"Intel Core i7",,"4 GB","128 GB","100 GB - 500 GB",Yes,Cloud,,,"Google Drive",,Daily,Yes,No,Yes,No,,Yes,iPhone,,Other,iphone7,No,,,,,"Fully Online","Moderately confident","300 - 500 Mbps",Average,"Very unlikely",Yes,Complete
57,,"[not completed]",Junior,,,"Biology and Biochemistry",,,Female,"African American",,"Standard User [document writing/email/web]",Laptop,2018,13'',,No,,"Built-in to my computer",Excellent,"Apple Macbook Pro",,Own,,"Mac OS",,Catalina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Incomplete
